,No,time_played,position,height,weight,salary,nth_year,nationality,j1_total_num_played,j1_total_scores,j2_total_num_played,j2_total_scores,j3_total_num_played,j3_total_scores,na_total_num_played,na_total_scores,prev3_div,prev2_div,prev1_div,prev3_num_played,prev2_num_played,prev1_num_played,prev3_scores,prev2_scores,prev1_scores,prev3_time_played,prev2_time_played,prev1_time_played,age,place_prev_season,is_youth,is_old,j12_total_num_played,j1na_total_num_played,j12_total_scores,j1na_total_scores,prev12_num_played,prev123_num_played,prev12_scores,prev123_scores,prev12_time_played,prev123_time_played,prev12_div,prev123_div
21,47.0,3060.0,GK,182.0,85.0,650.0,1.0,other,39.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,False,False,True,41,42,34,0,0,0,3690.0,3780.0,3015.0,29,4.0,False,False,101.5,39.0,62.5,0.0,76,117,0,0,6795.0,10485.0,1,1
22,48.0,570.0,MF,176.0,72.0,3200.0,1.0,other,153.0,20.0,50.0,7.0,0.0,0.0,0.0,0.0,True,True,True,27,32,32,4,4,7,1808.0,2356.0,2353.0,26,4.0,False,False,178.0,153.0,45.0,20.0,64,91,11,15,4709.0,6517.0,2,3
23,50.0,90.0,DF,173.0,72.0,3000.0,1.0,other,361.0,18.0,87.0,4.0,0.0,0.0,78.0,1.0,True,False,False,34,35,29,2,3,1,3015.0,3056.0,2270.0,35,4.0,False,True,404.5,439.0,61.5,19.0,64,98,4,6,5326.0,8341.0,0,1
24,1.0,3060.0,GK,184.0,78.0,5800.0,3.0,other,152.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True,True,True,21,34,34,0,0,0,1890.0,3060.0,3029.0,30,5.0,False,False,152.0,153.0,0.0,0.0,68,89,0,0,6089.0,7979.0,2,3
25,3.0,95.0,DF,187.0,73.0,900.0,5.0,other,15.0,1.0,29.0,3.0,3.0,0.0,0.0,0.0,False,True,True,29,12,3,3,1,0,2602.0,991.0,264.0,23,5.0,False,False,29.5,15.0,15.5,1.0,15,44,1,4,1255.0,3857.0,2,2
26,4.0,2486.0,DF,175.0,60.0,3000.0,6.0,other,102.0,2.0,42.0,2.0,0.0,0.0,3.0,0.0,False,True,True,42,25,32,4,0,0,3780.0,1950.0,2800.0,28,5.0,False,False,123.0,105.0,23.0,2.0,57,99,0,4,4750.0,8530.0,2,2
27,5.0,2462.0,DF,181.0,74.0,3500.0,8.0,other,103.0,2.0,149.0,6.0,0.0,0.0,2.0,0.0,False,True,True,25,25,34,2,2,0,2155.0,2065.0,3060.0,30,5.0,False,False,177.5,105.0,76.5,2.0,59,84,2,4,5125.0,7280.0,2,2
28,6.0,2404.0,DF,183.0,74.0,1200.0,5.0,other,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,8,4,13,0,0,0,557.0,213.0,737.0,28,5.0,False,False,35.0,35.0,0.0,0.0,17,25,0,0,950.0,1507.0,2,3
29,7.0,2872.0,MF,178.0,75.0,14500.0,16.0,other,503.0,98.0,33.0,5.0,0.0,0.0,152.0,15.0,False,True,True,33,34,34,5,6,5,2955.0,3053.0,3031.0,36,5.0,False,True,519.5,655.0,114.5,113.0,68,101,11,16,6084.0,9039.0,2,2
30,8.0,819.0,DF,181.0,77.0,4000.0,5.0,other,195.0,13.0,17.0,2.0,0.0,0.0,0.0,0.0,False,True,True,17,32,24,2,1,0,1460.0,2847.0,2145.0,30,5.0,False,False,203.5,195.0,21.5,13.0,56,73,1,3,4992.0,6452.0,2,2
31,9.0,1942.0,FW,176.0,74.0,8000.0,1.0,brazil,33.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,21,15,33,2,1,8,0.0,0.0,2820.0,22,5.0,False,False,33.0,33.0,8.0,8.0,48,69,9,11,2820.0,2820.0,1,1
32,11.0,2201.0,MF,172.0,68.0,3500.0,8.0,other,147.0,28.0,57.0,16.0,0.0,0.0,1.0,0.0,False,True,True,28,30,31,8,6,5,2380.0,1726.0,2193.0,28,5.0,False,False,175.5,148.0,56.5,28.0,61,89,11,19,3919.0,6299.0,2,2
33,13.0,1731.0,MF,170.0,68.0,2700.0,5.0,other,81.0,13.0,30.0,5.0,0.0,0.0,0.0,0.0,False,True,True,30,30,33,5,7,4,1446.0,2274.0,1967.0,27,5.0,False,False,96.0,81.0,28.0,13.0,63,93,11,16,4241.0,5687.0,2,2
34,14.0,1694.0,DF,176.0,71.0,3000.0,3.0,other,79.0,1.0,109.0,20.0,0.0,0.0,2.0,0.0,False,True,True,40,21,31,6,1,2,3486.0,1532.0,2454.0,28,5.0,False,False,133.5,81.0,55.5,1.0,52,92,3,9,3986.0,7472.0,2,2
35,15.0,2721.0,MF,178.0,73.0,10000.0,5.0,other,357.0,39.0,91.0,7.0,0.0,0.0,87.0,2.0,False,True,True,32,33,31,4,2,3,2880.0,2766.0,2615.0,33,5.0,False,True,402.5,444.0,84.5,41.0,64,96,5,9,5381.0,8261.0,2,2
36,17.0,0.0,MF,175.0,62.0,800.0,3.0,other,2.0,0.0,42.0,2.0,0.0,0.0,0.0,0.0,False,True,False,22,2,20,2,0,0,860.0,77.0,1664.0,26,5.0,False,False,23.0,2.0,21.0,0.0,22,44,0,2,1741.0,2601.0,1,1
37,19.0,1377.0,MF,170.0,70.0,2500.0,6.0,other,59.0,8.0,16.0,1.0,0.0,0.0,0.0,0.0,False,True,True,16,24,30,1,5,3,948.0,1448.0,1640.0,24,5.0,False,False,67.0,59.0,16.0,8.0,54,70,8,9,3088.0,4036.0,2,2
38,20.0,1152.0,FW,192.0,82.0,1200.0,2.0,other,35.0,7.0,79.0,12.0,0.0,0.0,0.0,0.0,False,True,True,32,10,18,3,4,3,1132.0,623.0,929.0,28,5.0,False,False,74.5,35.0,46.5,7.0,28,60,7,10,1552.0,2684.0,2,2
39,21.0,1490.0,MF,171.0,71.0,780.0,3.0,other,8.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,False,True,True,0,0,8,0,0,0,0.0,0.0,298.0,20,5.0,True,False,8.0,8.0,0.0,0.0,8,8,0,0,298.0,298.0,2,2
40,22.0,1522.0,DF,178.0,74.0,2500.0,4.0,korea,34.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,False,True,True,5,24,10,0,0,0,218.0,2114.0,645.0,26,5.0,False,False,36.5,34.0,2.5,0.0,34,39,0,0,2759.0,2977.0,2,2
41,23.0,337.0,FW,177.0,68.0,480.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0,0,0,0,0.0,0.0,0.0,22,5.0,False,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
42,25.0,408.0,MF,173.0,69.0,6000.0,1.0,other,278.0,51.0,0.0,0.0,0.0,0.0,13.0,1.0,True,True,True,28,26,19,3,3,3,2195.0,1803.0,1256.0,32,5.0,False,True,278.0,291.0,51.0,52.0,45,73,6,9,3059.0,5254.0,2,3
43,29.0,1023.0,FW,189.0,82.0,8800.0,3.0,brazil,75.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,24,22,32,7,9,12,1569.0,1387.0,2428.0,29,5.0,False,False,75.0,75.0,28.0,28.0,54,78,21,28,3815.0,5384.0,2,3
44,39.0,1370.0,FW,178.0,69.0,7500.0,7.0,other,103.0,40.0,18.0,19.0,0.0,0.0,13.0,2.0,False,True,True,18,26,34,19,10,19,1514.0,2026.0,2965.0,24,5.0,False,False,112.0,116.0,49.0,42.0,60,78,29,48,4991.0,6505.0,2,2
45,40.0,13.0,MF,175.0,67.0,1800.0,2.0,other,157.0,2.0,108.0,3.0,0.0,0.0,0.0,0.0,True,True,True,17,19,15,0,0,0,566.0,1346.0,822.0,31,5.0,False,False,211.0,157.0,56.0,2.0,34,51,0,0,2168.0,2734.0,2,3
46,1.0,3060.0,GK,183.0,81.0,8500.0,3.0,other,321.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,True,True,True,33,34,34,0,0,0,2970.0,3060.0,3060.0,30,5.0,False,False,321.0,344.0,0.0,0.0,68,101,0,0,6120.0,9090.0,2,3
47,2.0,71.0,DF,181.0,75.0,2200.0,2.0,other,157.0,2.0,75.0,4.0,0.0,0.0,0.0,0.0,True,True,True,18,7,4,0,0,0,1372.0,630.0,108.0,33,5.0,False,True,194.5,157.0,39.5,2.0,11,29,0,0,738.0,2110.0,2,3
48,3.0,2103.0,MF,172.0,71.0,2700.0,7.0,other,157.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,31,31,31,1,3,1,2337.0,2646.0,2654.0,28,5.0,False,False,157.0,157.0,9.0,9.0,62,93,4,5,5300.0,7637.0,2,3
49,4.0,1142.0,DF,180.0,77.0,4000.0,4.0,other,368.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,32,32,30,9,3,2,2646.0,2803.0,2664.0,35,5.0,False,True,368.0,368.0,28.0,28.0,62,94,5,14,5467.0,8113.0,2,3
50,5.0,2542.0,DF,182.0,77.0,7000.0,5.0,other,217.0,32.0,41.0,7.0,0.0,0.0,22.0,2.0,True,True,True,34,31,33,6,4,3,3060.0,2745.0,2970.0,29,5.0,False,False,237.5,239.0,52.5,34.0,64,98,7,13,5715.0,8775.0,2,3
51,6.0,2304.0,DF,178.0,75.0,3300.0,1.0,other,54.0,8.0,104.0,15.0,0.0,0.0,5.0,0.0,True,False,True,17,38,31,3,7,4,1530.0,3364.0,2745.0,23,5.0,False,False,106.0,59.0,60.0,8.0,69,86,11,14,6109.0,7639.0,1,2
52,7.0,695.0,MF,169.0,67.0,3400.0,9.0,other,218.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,True,True,True,28,33,31,2,4,8,1484.0,1947.0,1743.0,29,5.0,False,False,218.0,219.0,29.0,29.0,64,92,12,14,3690.0,5174.0,2,3
53,9.0,2628.0,FW,170.0,68.0,2800.0,2.0,other,102.0,19.0,0.0,0.0,0.0,0.0,2.0,2.0,True,True,True,22,30,32,0,4,13,702.0,1720.0,2588.0,28,5.0,False,False,102.0,104.0,19.0,21.0,62,84,17,17,4308.0,5010.0,2,3
54,10.0,2712.0,MF,176.0,73.0,7000.0,7.0,other,276.0,45.0,31.0,4.0,0.0,0.0,7.0,0.0,True,True,True,34,33,33,8,3,5,2903.0,2882.0,2834.0,29,5.0,False,False,291.5,283.0,60.5,45.0,66,100,8,16,5716.0,8619.0,2,3
55,11.0,115.0,FW,173.0,64.0,4000.0,2.0,other,188.0,47.0,143.0,41.0,0.0,0.0,0.0,0.0,True,True,True,33,29,4,10,10,0,2843.0,2472.0,298.0,32,5.0,False,True,259.5,188.0,118.5,47.0,33,66,10,20,2770.0,5613.0,2,3
56,13.0,829.0,FW,170.0,64.0,2500.0,2.0,other,141.0,22.0,30.0,6.0,0.0,0.0,0.0,0.0,True,True,True,30,31,21,6,3,2,1670.0,1912.0,881.0,25,5.0,False,False,156.0,141.0,37.0,22.0,52,82,5,11,2793.0,4463.0,2,3
57,14.0,0.0,DF,172.0,72.0,2500.0,15.0,other,330.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,27,25,8,0,1,0,1906.0,1735.0,312.0,37,5.0,False,True,330.0,330.0,9.0,9.0,33,60,1,1,2047.0,3953.0,2,3
58,15.0,0.0,GK,186.0,90.0,700.0,8.0,other,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,True,False,True,0,42,0,0,0,0,0.0,3780.0,0.0,27,5.0,False,False,21.0,0.0,21.0,0.0,42,42,0,0,3780.0,3780.0,1,2
59,16.0,565.0,MF,179.0,77.0,2500.0,3.0,other,170.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,28,21,22,4,0,1,2440.0,986.0,517.0,27,5.0,False,False,170.0,170.0,12.0,12.0,43,71,1,5,1503.0,3943.0,2,3
60,17.0,20.0,DF,184.0,82.0,2500.0,6.0,other,271.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,True,True,True,9,13,5,0,0,0,467.0,540.0,280.0,33,5.0,False,True,271.0,273.0,6.0,6.0,18,27,0,0,820.0,1287.0,2,3
61,18.0,1144.0,MF,168.0,64.0,2300.0,1.0,other,0.0,0.0,171.0,15.0,0.0,0.0,0.0,0.0,False,False,False,39,40,35,4,1,3,3164.0,3192.0,3192.0,24,5.0,False,False,85.5,0.0,85.5,0.0,75,114,4,8,6384.0,9548.0,0,0
62,20.0,2137.0,FW,182.0,77.0,5000.0,3.0,other,218.0,52.0,31.0,8.0,0.0,0.0,11.0,2.0,True,True,True,13,34,24,4,6,2,457.0,1914.0,792.0,31,5.0,False,False,233.5,229.0,67.5,54.0,58,71,8,12,2706.0,3163.0,2,3
63,21.0,799.0,FW,186.0,80.0,8000.0,2.0,other,100.0,25.0,0.0,0.0,0.0,0.0,48.0,6.0,True,True,True,27,32,29,6,7,8,2110.0,2718.0,1296.0,33,5.0,False,True,100.0,148.0,25.0,31.0,61,88,15,21,4014.0,6124.0,2,3
64,22.0,3060.0,MF,178.0,77.0,10000.0,9.0,other,469.0,67.0,0.0,0.0,0.0,0.0,53.0,3.0,True,True,True,33,34,34,6,4,3,2960.0,3060.0,3060.0,35,5.0,False,True,469.0,522.0,67.0,70.0,68,101,7,13,6120.0,9080.0,2,3
65,24.0,2465.0,MF,167.0,61.0,1400.0,3.0,other,53.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,21,32,0,2,6,0.0,550.0,2465.0,21,5.0,True,False,53.0,53.0,8.0,8.0,53,53,8,8,3015.0,3015.0,2,3
66,26.0,17.0,MF,174.0,66.0,380.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0,0,0,0,0.0,0.0,0.0,18,5.0,True,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
67,30.0,2264.0,FW,175.0,72.0,7500.0,4.0,other,282.0,86.0,0.0,0.0,0.0,0.0,16.0,0.0,True,True,True,33,31,26,13,12,12,2904.0,2478.0,2003.0,30,5.0,False,False,282.0,298.0,86.0,86.0,57,90,24,37,4481.0,7385.0,2,3
68,33.0,10.0,DF,181.0,72.0,1800.0,2.0,other,112.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,True,True,True,20,32,6,0,3,0,1608.0,2741.0,136.0,30,5.0,False,False,126.5,112.0,19.5,5.0,38,58,3,3,2877.0,4485.0,2,3
69,46.0,2910.0,DF,177.0,75.0,5200.0,4.0,other,216.0,16.0,100.0,9.0,0.0,0.0,3.0,0.0,True,True,True,33,33,30,3,3,2,2796.0,2938.0,2610.0,30,5.0,False,False,266.0,219.0,66.0,16.0,63,96,5,8,5548.0,8344.0,2,3
70,1.0,2025.0,GK,180.0,76.0,2800.0,15.0,other,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,33,34,9,0,0,0,2955.0,3060.0,810.0,33,3.0,False,True,215.0,215.0,0.0,0.0,43,76,0,0,3870.0,6825.0,2,3
71,2.0,1089.0,DF,188.0,76.0,480.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0,0,0,0,0.0,0.0,0.0,22,3.0,False,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
72,4.0,649.0,DF,184.0,80.0,6500.0,15.0,other,293.0,15.0,0.0,0.0,0.0,0.0,20.0,3.0,True,True,True,31,29,11,2,3,0,2790.0,2597.0,585.0,33,3.0,False,True,293.0,313.0,15.0,18.0,40,71,3,5,3182.0,5972.0,2,3
73,5.0,1995.0,DF,186.0,78.0,1600.0,4.0,brazil,58.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,14,11,33,1,0,4,360.0,733.0,2895.0,27,3.0,False,False,58.0,58.0,5.0,5.0,44,58,4,5,3628.0,3988.0,2,3
74,6.0,111.0,MF,175.0,72.0,1500.0,3.0,other,183.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,34,13,32,1,0,4,2691.0,799.0,2696.0,30,3.0,False,False,183.0,183.0,11.0,11.0,45,79,4,5,3495.0,6186.0,2,3
75,7.0,802.0,MF,172.0,68.0,3700.0,9.0,other,250.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,33,31,28,7,3,1,2821.0,2044.0,1338.0,31,3.0,False,False,250.0,250.0,30.0,30.0,59,92,4,11,3382.0,6203.0,2,3
76,8.0,2642.0,MF,174.0,74.0,3000.0,5.0,other,114.0,6.0,101.0,12.0,0.0,0.0,0.0,0.0,True,True,True,33,23,14,1,0,2,2903.0,1475.0,957.0,31,3.0,False,False,164.5,114.0,56.5,6.0,37,70,2,3,2432.0,5335.0,2,3
77,9.0,0.0,FW,172.0,75.0,4000.0,3.0,brazil,45.0,19.0,51.0,13.0,0.0,0.0,0.0,0.0,False,True,True,0,8,10,0,4,1,0.0,381.0,387.0,29,3.0,False,False,70.5,45.0,44.5,19.0,18,18,5,5,768.0,768.0,2,2
78,10.0,1552.0,MF,178.0,71.0,12000.0,13.0,other,319.0,64.0,0.0,0.0,0.0,0.0,98.0,24.0,True,True,True,33,32,19,10,3,3,2963.0,2465.0,1338.0,38,3.0,False,True,319.0,417.0,64.0,88.0,51,84,6,16,3803.0,6766.0,2,3
79,11.0,2844.0,MF,169.0,66.0,3200.0,7.0,other,143.0,21.0,36.0,14.0,0.0,0.0,5.0,1.0,True,True,True,28,31,32,4,4,7,2103.0,2257.0,2793.0,26,3.0,False,False,161.0,148.0,39.0,22.0,63,91,11,15,5050.0,7153.0,2,3
80,13.0,2942.0,DF,176.0,72.0,2800.0,6.0,other,267.0,5.0,70.0,1.0,0.0,0.0,0.0,0.0,True,True,True,33,27,32,0,0,2,2839.0,2354.0,2845.0,31,3.0,False,False,302.0,267.0,40.0,5.0,59,92,2,2,5199.0,8038.0,2,3
81,14.0,11.0,MF,177.0,74.0,380.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,0,0,0,0,0,0,0.0,0.0,0.0,19,3.0,True,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,1
82,15.0,315.0,DF,186.0,78.0,480.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,0,0,0,0,0,0,0.0,0.0,0.0,23,3.0,False,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,1
83,16.0,1311.0,FW,184.0,76.0,1900.0,3.0,other,110.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,25,32,29,6,8,6,1289.0,2416.0,1635.0,28,3.0,False,False,110.0,110.0,22.0,22.0,61,86,14,20,4051.0,5340.0,2,3
84,17.0,868.0,FW,178.0,75.0,480.0,1.0,other,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,0,0,4,0,0,1,0.0,0.0,59.0,23,3.0,False,False,4.0,4.0,1.0,1.0,4,4,1,1,59.0,59.0,1,1
85,18.0,954.0,MF,175.0,66.0,380.0,1.0,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0,0,0,0,0.0,0.0,0.0,19,3.0,True,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0
86,19.0,97.0,FW,161.0,57.0,480.0,2.0,other,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,0,0,2,0,0,0,0.0,0.0,26.0,24,3.0,False,False,2.0,2.0,0.0,0.0,2,2,0,0,26.0,26.0,1,1
87,21.0,1035.0,GK,181.0,75.0,1400.0,11.0,other,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,25,0,0,0,0.0,0.0,2250.0,30,3.0,False,False,140.0,140.0,0.0,0.0,25,25,0,0,2250.0,2250.0,2,3
88,22.0,3060.0,DF,187.0,78.0,11000.0,15.0,other,503.0,31.0,0.0,0.0,0.0,0.0,110.0,17.0,True,True,True,34,34,34,1,2,0,3009.0,3060.0,3060.0,38,3.0,False,True,503.0,613.0,31.0,48.0,68,102,2,3,6120.0,9129.0,2,3
89,23.0,1305.0,DF,175.0,67.0,2500.0,3.0,other,198.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,30,28,34,1,2,1,2625.0,2494.0,3060.0,28,3.0,False,False,198.0,198.0,5.0,5.0,62,92,3,4,5554.0,8179.0,2,3
90,24.0,1385.0,DF,175.0,70.0,1600.0,6.0,other,81.0,3.0,35.0,5.0,0.0,0.0,0.0,0.0,True,True,False,15,7,35,2,0,5,575.0,157.0,2695.0,26,3.0,False,False,98.5,81.0,20.5,3.0,42,57,5,7,2852.0,3427.0,1,2
91,25.0,649.0,FW,177.0,72.0,1200.0,1.0,other,31.0,3.0,48.0,4.0,2.0,0.0,0.0,0.0,False,False,True,18,26,31,1,3,3,800.0,1483.0,1685.0,22,3.0,False,False,55.0,31.0,27.0,3.0,57,75,6,7,3168.0,3968.0,1,1
92,26.0,0.0,MF,180.0,73.0,480.0,2.0,other,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,False,False,True,0,0,0,0,0,0,0.0,0.0,0.0,20,3.0,True,False,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1,1
